FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I0AGEY16MCE,I70319,I70319,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70321,I70321,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70322,I70322,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70323,I70323,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70328,I70328,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70329,I70329,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70331,I70331,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70332,I70332,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70333,I70333,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70334,I70334,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70335,I70335,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70338,I70338,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70339,I70339,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70341,I70341,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70342,I70342,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70343,I70343,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70344,I70344,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70345,I70345,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70348,I70348,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70349,I70349,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I7035,I7035,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70361,I70361,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70362,I70362,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70363,I70363,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70368,I70368,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70369,I70369,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70391,I70391,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70392,I70392,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70393,I70393,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70398,I70398,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70399,I70399,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70401,I70401,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70402,I70402,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70403,I70403,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70408,I70408,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70409,I70409,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70411,I70411,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70412,I70412,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70413,I70413,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70418,I70418,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70419,I70419,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70421,I70421,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70422,I70422,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70423,I70423,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70428,I70428,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70429,I70429,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70431,I70431,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70432,I70432,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70433,I70433,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70434,I70434,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70435,I70435,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70438,I70438,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70439,I70439,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70441,I70441,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70442,I70442,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70443,I70443,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70444,I70444,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70445,I70445,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70448,I70448,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70449,I70449,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I7045,I7045,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70461,I70461,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70462,I70462,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70463,I70463,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70468,I70468,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70469,I70469,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70491,I70491,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70492,I70492,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70493,I70493,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70498,I70498,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70499,I70499,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70501,I70501,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70502,I70502,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70503,I70503,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70508,I70508,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70509,I70509,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70511,I70511,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70512,I70512,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70513,I70513,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70518,I70518,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70519,I70519,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70521,I70521,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70522,I70522,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70523,I70523,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70528,I70528,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70529,I70529,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70531,I70531,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70532,I70532,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70533,I70533,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70534,I70534,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70535,I70535,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70538,I70538,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70539,I70539,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70541,I70541,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70542,I70542,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70543,I70543,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70544,I70544,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70545,I70545,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70548,I70548,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70549,I70549,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I7055,I7055,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70561,I70561,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70562,I70562,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70563,I70563,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70568,I70568,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70569,I70569,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70591,I70591,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70592,I70592,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70593,I70593,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70598,I70598,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70599,I70599,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70601,I70601,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70602,I70602,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70603,I70603,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70608,I70608,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70609,I70609,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70611,I70611,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70612,I70612,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70613,I70613,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70618,I70618,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70619,I70619,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70621,I70621,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70622,I70622,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70623,I70623,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70628,I70628,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70629,I70629,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70631,I70631,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70632,I70632,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70633,I70633,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70634,I70634,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
